city,temperature,humidity,pressure,wind_speed,rainfall,timestamp
kathmandu,20.12,30,1010,3.6,0,2025-02-11 17:53:46.186045
texas,5.97,93,1007,0,0,2025-02-11 17:53:55.174385
dallas,5.61,93,1010,3.6,0,2025-02-11 17:54:03.135454
lalitpur,20.21,30,1010,3.6,0,2025-02-11 17:54:21.839509
bhaktapur,20.08,30,1010,3.6,0,2025-02-11 17:54:29.952950
Dhading,21.93,19,1010,3.54,0,2025-02-11 17:54:51.289652
Nuwakot,24.63,17,1010,3.52,0,2025-02-11 17:54:59.653406
Pokhara,21.66,21,1010,3.58,0,2025-02-11 17:55:26.691325
Banepa,19.18,30,1010,3.6,0,2025-02-11 17:55:43.598646
Dhulikhel,18.75,23,1010,3.91,0,2025-02-11 17:55:59.218944
Patiala,27.28,11,1012,6.5,0,2025-02-12 08:35:46.350618
Kerala,32.82,21,1010,2.57,0,2025-02-12 08:37:16.456333
Tamil Nadu,33.07,27,1010,1.67,0,2025-02-12 08:37:27.134796
Queensland,24.27,80,1008,3.2,0,2025-02-12 08:40:30.030072
Johannesburg,20.46,78,1017,0.89,0,2025-02-12 08:40:58.786598
Sydney,24.43,80,1012,4.12,0,2025-02-12 08:41:22.102974
Tokyo,11.74,42,1010,11.83,0,2025-02-12 08:41:36.740773
Los Angeles,10.39,84,1012,3.09,0,2025-02-12 08:42:48.032530
New York,-0.59,93,1023,4.12,0,2025-02-12 08:42:58.094154
London,3.8,92,1019,2.06,0,2025-02-12 08:43:16.535453
Paris,4.14,85,1018,3.6,0,2025-02-12 08:43:26.833699
Munich,4.92,95,1019,0.45,0.27,2025-02-12 08:43:33.392496
Delhi,25.05,25,1012,5.14,0,2025-02-12 08:43:57.640989
Brisbane,25.53,82,1013,4.12,0.12,2025-02-12 09:18:15.555497
Perth,20.57,68,1016,8.23,0,2025-02-12 09:19:05.944364
Ohio,-1.81,80,1019,4.12,0,2025-02-12 13:04:06.390558
Istanbul,3.46,81,1029,5.14,0,2025-02-12 17:07:34.038457
Dhaka,22.99,83,1012,2.06,0,2025-02-12 17:11:05.316553
bhaktapur,11.08,76,1016,1.54,0,2025-02-12 18:28:39.633687
Toronto,-5.42,79,1028,8.75,0,2025-02-14 07:11:04.924587
